Phase,error.object.name,errorCode,errorDescription
Transfer,HUB_NOT_FOUND,GENERIC_ID_NOT_FOUND,GENERIC_ID_NOT_FOUND
Transfer,HUB_ACCOUNT_NOT_FOUND,GENERIC_ID_NOT_FOUND,GENERIC_ID_NOT_FOUND
Transfer,PAYER_POSITION_ACCOUNT_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND
Transfer,PAYER_LIQUIDITY_ACCOUNT_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND
Transfer,PAYER_PARTICIPANT_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND
Transfer,PAYEE_POSITION_ACCOUNT_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND
Transfer,PAYEE_LIQUIDITY_ACCOUNT_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND
Transfer,PAYEE_PARTICIPANT_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND
Transfer,TRANSFER_NOT_FOUND,TRANSFER_ID_NOT_FOUND,TRANSFER_ID_NOT_FOUND
Transfer,UNABLE_TO_GET_TRANSFER,TRANSFER_ID_NOT_FOUND,TRANSFER_ID_NOT_FOUND
Transfer,TRANSFER_EXPIRED,TRANSFER_EXPIRED,TRANSFER_EXPIRED
Transfer,UNABLE_TO_CANCEL_TRANSFER_RESERVATION,GENERIC_SERVER_ERROR,GENERIC_SERVER_ERROR
Transfer,TRANSFER_LIQUIDITY_CHECK_FAILED,PAYER_FSP_INSUFFICIENT_LIQUIDITY,PAYER_FSP_INSUFFICIENT_LIQUIDITY
Transfer,PAYER_PARTICIPANT_ID_MISMATCH,GENERIC_PAYER_BLOCKED_ERROR,GENERIC_PAYER_BLOCKED_ERROR
Transfer,PAYER_PARTICIPANT_NOT_ACTIVE,GENERIC_PAYER_BLOCKED_ERROR,GENERIC_PAYER_BLOCKED_ERROR
Transfer,PAYER_PARTICIPANT_NOT_APPROVED,GENERIC_PAYER_BLOCKED_ERROR,GENERIC_PAYER_BLOCKED_ERROR
Transfer,PAYEE_PARTICIPANT_ID_MISMATCH,DESTINATION_FSP_ERROR,DESTINATION_FSP_ERROR
Transfer,PAYEE_PARTICIPANT_NOT_ACTIVE,DESTINATION_FSP_ERROR,DESTINATION_FSP_ERROR
Transfer,PAYEE_PARTICIPANT_NOT_APPROVED,DESTINATION_FSP_ERROR,DESTINATION_FSP_ERROR
